year,avg_temp,anomaly
1995,27.8,undefined
1996,25.1,undefined
1997,28.1,undefined
1998,28.4,undefined
1999,24.0,undefined
2000,28.4,undefined
2001,27.3,undefined
2002,30.1,undefined
2003,29.1,undefined
2004,29.3,undefined
2005,29.2,undefined
2006,26.4,undefined
2007,28.1,undefined
2008,25.1,undefined
2009,26.8,undefined
2010,27.4,undefined
2011,27.0,undefined
2012,24.3,undefined
2013,27.8,undefined
2014,30.3,undefined
2015,30.0,undefined
2016,31.9,undefined
2017,29.3,undefined
2018,30.4,undefined
2019,32.2,undefined
2020,27.5,undefined
2021,26.5,undefined
