year,avg_temp,anomaly
1995,60.5,undefined
1996,59.6,undefined
1997,59.7,undefined
1998,63.1,undefined
1999,62.2,undefined
2000,60.9,undefined
2001,61.2,undefined
2002,60.6,undefined
2003,60.3,undefined
2004,61.0,undefined
2005,62.0,undefined
2006,62.0,undefined
2007,61.8,undefined
2008,59.9,undefined
2009,59.9,undefined
2010,61.2,undefined
2011,61.8,undefined
2012,63.6,undefined
2013,59.6,undefined
2014,58.7,undefined
2015,61.4,undefined
2016,62.8,undefined
2017,62.5,undefined
2018,61.2,undefined
2019,61.2,undefined
2020,61.2,undefined
2021,61.3,undefined
