year,avg_temp,anomaly
1995,49.0,undefined
1996,48.4,undefined
1997,48.6,undefined
1998,51.6,undefined
1999,50.9,undefined
2000,48.5,undefined
2001,50.2,undefined
2002,50.5,undefined
2003,48.2,undefined
2004,48.8,undefined
2005,49.5,undefined
2006,51.1,undefined
2007,49.5,undefined
2008,49.7,undefined
2009,48.8,undefined
2010,51.4,undefined
2011,50.9,undefined
2012,52.5,undefined
2013,49.8,undefined
2014,48.7,undefined
2015,49.8,undefined
2016,51.8,undefined
2017,50.9,undefined
2018,50.8,undefined
2019,49.8,undefined
2020,51.8,undefined
2021,51.4,undefined
