year,avg_temp,anomaly
1995,70.8,undefined
1996,69.9,undefined
1997,71.1,undefined
1998,72.5,undefined
1999,71.2,undefined
2000,70.6,undefined
2001,70.9,undefined
2002,71.3,undefined
2003,70.9,undefined
2004,70.8,undefined
2005,70.8,undefined
2006,71.4,undefined
2007,71.8,undefined
2008,70.8,undefined
2009,71.2,undefined
2010,69.2,undefined
2011,71.7,undefined
2012,71.9,undefined
2013,71.7,undefined
2014,70.6,undefined
2015,73.4,undefined
2016,72.5,undefined
2017,72.8,undefined
2018,72.3,undefined
2019,73.2,undefined
2020,73.2,undefined
2021,72.2,undefined
