year,avg_temp,anomaly
1995,63.5,undefined
1996,62.7,undefined
1997,63.2,undefined
1998,65.7,undefined
1999,64.5,undefined
2000,63.4,undefined
2001,63.9,undefined
2002,64.4,undefined
2003,63.3,undefined
2004,64.0,undefined
2005,63.8,undefined
2006,64.6,undefined
2007,64.8,undefined
2008,63.5,undefined
2009,63.4,undefined
2010,63.0,undefined
2011,64.6,undefined
2012,65.5,undefined
2013,63.4,undefined
2014,63.0,undefined
2015,65.3,undefined
2016,65.8,undefined
2017,65.8,undefined
2018,65.1,undefined
2019,66.2,undefined
2020,65.6,undefined
2021,64.6,undefined
