year,avg_temp,anomaly
1995,51.6,undefined
1996,50.1,undefined
1997,51.0,undefined
1998,55.2,undefined
1999,53.5,undefined
2000,52.2,undefined
2001,53.4,undefined
2002,53.2,undefined
2003,51.7,undefined
2004,52.6,undefined
2005,53.7,undefined
2006,54.0,undefined
2007,53.7,undefined
2008,50.9,undefined
2009,51.4,undefined
2010,52.9,undefined
2011,53.2,undefined
2012,55.8,undefined
2013,51.1,undefined
2014,49.5,undefined
2015,52.9,undefined
2016,54.7,undefined
2017,54.4,undefined
2018,52.5,undefined
2019,52.1,undefined
2020,53.3,undefined
2021,53.8,undefined
