year,avg_temp,anomaly
1995,51.5,undefined
1996,50.1,undefined
1997,50.5,undefined
1998,55.0,undefined
1999,53.2,undefined
2000,51.6,undefined
2001,53.2,undefined
2002,53.1,undefined
2003,51.1,undefined
2004,52.2,undefined
2005,52.9,undefined
2006,53.4,undefined
2007,53.3,undefined
2008,51.0,undefined
2009,51.3,undefined
2010,52.6,undefined
2011,53.1,undefined
2012,55.1,undefined
2013,51.2,undefined
2014,49.4,undefined
2015,52.3,undefined
2016,54.2,undefined
2017,54.0,undefined
2018,52.6,undefined
2019,52.4,undefined
2020,53.3,undefined
2021,53.5,undefined
