year,avg_temp,anomaly
1995,47.3,undefined
1996,45.2,undefined
1997,47.1,undefined
1998,50.9,undefined
1999,49.7,undefined
2000,48.6,undefined
2001,49.1,undefined
2002,49.2,undefined
2003,47.9,undefined
2004,48.5,undefined
2005,49.6,undefined
2006,50.4,undefined
2007,48.9,undefined
2008,45.9,undefined
2009,46.7,undefined
2010,48.2,undefined
2011,48.4,undefined
2012,52.1,undefined
2013,46.7,undefined
2014,45.5,undefined
2015,49.3,undefined
2016,50.7,undefined
2017,50.0,undefined
2018,47.5,undefined
2019,46.8,undefined
2020,49.2,undefined
2021,50.0,undefined
