year,avg_temp,anomaly
1995,40.9,undefined
1996,41.0,undefined
1997,39.8,undefined
1998,43.5,undefined
1999,43.8,undefined
2000,40.9,undefined
2001,42.7,undefined
2002,41.7,undefined
2003,40.5,undefined
2004,40.4,undefined
2005,41.8,undefined
2006,44.0,undefined
2007,40.7,undefined
2008,41.6,undefined
2009,40.9,undefined
2010,44.6,undefined
2011,42.8,undefined
2012,43.9,undefined
2013,42.0,undefined
2014,41.2,undefined
2015,41.2,undefined
2016,43.3,undefined
2017,42.4,undefined
2018,41.8,undefined
2019,40.7,undefined
2020,43.5,undefined
2021,44.2,undefined
