year,avg_temp,anomaly
1995,54.4,undefined
1996,53.2,undefined
1997,54.0,undefined
1998,57.0,undefined
1999,55.7,undefined
2000,54.1,undefined
2001,55.3,undefined
2002,56.3,undefined
2003,53.9,undefined
2004,55.2,undefined
2005,55.2,undefined
2006,56.5,undefined
2007,55.7,undefined
2008,55.3,undefined
2009,54.6,undefined
2010,55.9,undefined
2011,56.5,undefined
2012,57.5,undefined
2013,54.7,undefined
2014,53.6,undefined
2015,55.4,undefined
2016,56.5,undefined
2017,56.7,undefined
2018,55.9,undefined
2019,56.6,undefined
2020,57.2,undefined
2021,56.8,undefined
