year,avg_temp,anomaly
1995,47.8,undefined
1996,47.3,undefined
1997,47.4,undefined
1998,50.4,undefined
1999,49.8,undefined
2000,47.5,undefined
2001,49.1,undefined
2002,49.3,undefined
2003,47.1,undefined
2004,47.6,undefined
2005,48.4,undefined
2006,50.1,undefined
2007,48.3,undefined
2008,48.6,undefined
2009,47.7,undefined
2010,50.4,undefined
2011,49.7,undefined
2012,51.3,undefined
2013,48.8,undefined
2014,47.7,undefined
2015,48.5,undefined
2016,50.3,undefined
2017,49.6,undefined
2018,49.5,undefined
2019,48.5,undefined
2020,50.9,undefined
2021,50.8,undefined
