year,avg_temp,anomaly
1995,63.6,undefined
1996,63.0,undefined
1997,62.9,undefined
1998,65.9,undefined
1999,65.0,undefined
2000,64.2,undefined
2001,63.7,undefined
2002,64.0,undefined
2003,63.3,undefined
2004,64.0,undefined
2005,64.3,undefined
2006,64.8,undefined
2007,65.0,undefined
2008,63.3,undefined
2009,63.6,undefined
2010,63.5,undefined
2011,64.5,undefined
2012,65.7,undefined
2013,63.1,undefined
2014,62.3,undefined
2015,65.3,undefined
2016,65.9,undefined
2017,65.8,undefined
2018,64.8,undefined
2019,65.2,undefined
2020,65.5,undefined
2021,64.7,undefined
