year,avg_temp,anomaly
1995,48.6,undefined
1996,46.6,undefined
1997,48.6,undefined
1998,50.6,undefined
1999,51.0,undefined
2000,49.9,undefined
2001,50.3,undefined
2002,50.0,undefined
2003,49.8,undefined
2004,49.8,undefined
2005,50.7,undefined
2006,51.1,undefined
2007,50.0,undefined
2008,47.7,undefined
2009,47.6,undefined
2010,49.3,undefined
2011,48.8,undefined
2012,52.7,undefined
2013,48.5,undefined
2014,48.0,undefined
2015,50.8,undefined
2016,51.7,undefined
2017,50.7,undefined
2018,48.3,undefined
2019,47.5,undefined
2020,50.6,undefined
2021,51.1,undefined
