year,avg_temp,anomaly
1995,43.3,undefined
1996,43.0,undefined
1997,42.3,undefined
1998,46.0,undefined
1999,45.4,undefined
2000,43.0,undefined
2001,44.6,undefined
2002,44.5,undefined
2003,42.5,undefined
2004,43.0,undefined
2005,44.0,undefined
2006,45.8,undefined
2007,43.1,undefined
2008,43.9,undefined
2009,43.0,undefined
2010,46.0,undefined
2011,44.9,undefined
2012,46.6,undefined
2013,44.2,undefined
2014,43.1,undefined
2015,43.6,undefined
2016,45.7,undefined
2017,44.9,undefined
2018,44.5,undefined
2019,43.3,undefined
2020,45.9,undefined
2021,46.1,undefined
