year,avg_temp,anomaly
1995,45.2,undefined
1996,44.5,undefined
1997,44.3,undefined
1998,48.3,undefined
1999,46.9,undefined
2000,44.9,undefined
2001,46.9,undefined
2002,46.8,undefined
2003,44.5,undefined
2004,45.2,undefined
2005,46.2,undefined
2006,47.6,undefined
2007,45.7,undefined
2008,45.8,undefined
2009,45.0,undefined
2010,47.3,undefined
2011,47.1,undefined
2012,48.8,undefined
2013,45.7,undefined
2014,44.5,undefined
2015,45.7,undefined
2016,47.6,undefined
2017,46.9,undefined
2018,46.2,undefined
2019,45.2,undefined
2020,47.8,undefined
2021,47.7,undefined
