year,avg_temp,anomaly
1995,48.1,undefined
1996,47.6,undefined
1997,47.8,undefined
1998,47.8,undefined
1999,47.2,undefined
2000,47.5,undefined
2001,47.8,undefined
2002,47.7,undefined
2003,49.0,undefined
2004,48.5,undefined
2005,47.7,undefined
2006,48.0,undefined
2007,47.8,undefined
2008,46.8,undefined
2009,47.3,undefined
2010,47.1,undefined
2011,46.3,undefined
2012,48.0,undefined
2013,47.6,undefined
2014,49.6,undefined
2015,50.4,undefined
2016,48.8,undefined
2017,48.0,undefined
2018,48.4,undefined
2019,47.1,undefined
2020,48.8,undefined
2021,49.2,undefined
