year,avg_temp,anomaly
1995,62.5,undefined
1996,61.8,undefined
1997,62.2,undefined
1998,64.7,undefined
1999,63.4,undefined
2000,62.2,undefined
2001,63.3,undefined
2002,63.7,undefined
2003,62.4,undefined
2004,63.2,undefined
2005,63.1,undefined
2006,63.6,undefined
2007,64.3,undefined
2008,63.0,undefined
2009,62.7,undefined
2010,62.6,undefined
2011,64.1,undefined
2012,64.5,undefined
2013,62.3,undefined
2014,62.2,undefined
2015,64.5,undefined
2016,64.9,undefined
2017,65.1,undefined
2018,64.3,undefined
2019,65.0,undefined
2020,64.6,undefined
2021,63.7,undefined
