year,avg_temp,anomaly
1995,57.4,undefined
1996,56.6,undefined
1997,56.8,undefined
1998,60.2,undefined
1999,59.3,undefined
2000,58.0,undefined
2001,58.3,undefined
2002,58.7,undefined
2003,57.5,undefined
2004,58.5,undefined
2005,58.8,undefined
2006,58.9,undefined
2007,59.9,undefined
2008,57.6,undefined
2009,57.6,undefined
2010,57.9,undefined
2011,58.9,undefined
2012,60.3,undefined
2013,57.1,undefined
2014,56.6,undefined
2015,59.0,undefined
2016,60.3,undefined
2017,60.0,undefined
2018,59.1,undefined
2019,59.8,undefined
2020,59.3,undefined
2021,59.0,undefined
