year,avg_temp,anomaly
1995,55.0,undefined
1996,54.0,undefined
1997,54.5,undefined
1998,57.4,undefined
1999,56.3,undefined
2000,54.9,undefined
2001,55.8,undefined
2002,56.6,undefined
2003,55.0,undefined
2004,55.9,undefined
2005,55.9,undefined
2006,56.6,undefined
2007,56.8,undefined
2008,55.7,undefined
2009,55.2,undefined
2010,55.9,undefined
2011,57.0,undefined
2012,57.6,undefined
2013,55.1,undefined
2014,54.4,undefined
2015,56.5,undefined
2016,57.1,undefined
2017,57.3,undefined
2018,56.6,undefined
2019,57.5,undefined
2020,57.4,undefined
2021,57.1,undefined
