year,avg_temp,anomaly
1995,51.6,undefined
1996,50.7,undefined
1997,51.0,undefined
1998,54.2,undefined
1999,53.0,undefined
2000,51.8,undefined
2001,52.7,undefined
2002,53.2,undefined
2003,51.6,undefined
2004,52.7,undefined
2005,52.8,undefined
2006,53.0,undefined
2007,53.3,undefined
2008,51.8,undefined
2009,51.7,undefined
2010,52.1,undefined
2011,53.5,undefined
2012,54.3,undefined
2013,51.8,undefined
2014,50.8,undefined
2015,53.1,undefined
2016,54.1,undefined
2017,54.0,undefined
2018,53.3,undefined
2019,54.2,undefined
2020,54.0,undefined
2021,53.6,undefined
