year,avg_temp,anomaly
1995,41.7,undefined
1996,41.0,undefined
1997,41.2,undefined
1998,42.5,undefined
1999,43.2,undefined
2000,42.5,undefined
2001,43.2,undefined
2002,41.4,undefined
2003,43.1,undefined
2004,42.4,undefined
2005,42.8,undefined
2006,43.2,undefined
2007,43.3,undefined
2008,40.7,undefined
2009,40.9,undefined
2010,42.0,undefined
2011,41.1,undefined
2012,44.8,undefined
2013,41.7,undefined
2014,42.1,undefined
2015,44.2,undefined
2016,43.9,undefined
2017,43.2,undefined
2018,42.4,undefined
2019,40.3,undefined
2020,42.8,undefined
2021,43.6,undefined
