year,avg_temp,anomaly
1995,63.0,undefined
1996,62.1,undefined
1997,62.4,undefined
1998,65.1,undefined
1999,64.1,undefined
2000,63.6,undefined
2001,63.0,undefined
2002,63.6,undefined
2003,62.7,undefined
2004,63.3,undefined
2005,63.4,undefined
2006,64.2,undefined
2007,64.4,undefined
2008,62.9,undefined
2009,62.9,undefined
2010,62.7,undefined
2011,63.8,undefined
2012,64.9,undefined
2013,62.6,undefined
2014,62.0,undefined
2015,64.6,undefined
2016,65.3,undefined
2017,65.0,undefined
2018,64.5,undefined
2019,65.4,undefined
2020,64.9,undefined
2021,64.2,undefined
