year,avg_temp,anomaly
1995,58.9,undefined
1996,59.6,undefined
1997,59.1,undefined
1998,56.7,undefined
1999,58.0,undefined
2000,58.8,undefined
2001,59.1,undefined
2002,58.9,undefined
2003,59.4,undefined
2004,58.9,undefined
2005,58.6,undefined
2006,58.6,undefined
2007,58.9,undefined
2008,58.9,undefined
2009,58.8,undefined
2010,57.7,undefined
2011,57.4,undefined
2012,59.5,undefined
2013,59.3,undefined
2014,61.5,undefined
2015,60.8,undefined
2016,60.1,undefined
2017,60.3,undefined
2018,60.1,undefined
2019,58.4,undefined
2020,60.5,undefined
2021,60.4,undefined
