year,avg_temp,anomaly
1995,45.7,undefined
1996,45.8,undefined
1997,44.8,undefined
1998,46.3,undefined
1999,46.6,undefined
2000,47.0,undefined
2001,46.9,undefined
2002,46.1,undefined
2003,47.0,undefined
2004,45.8,undefined
2005,46.8,undefined
2006,46.5,undefined
2007,46.2,undefined
2008,44.9,undefined
2009,45.2,undefined
2010,46.2,undefined
2011,45.4,undefined
2012,48.3,undefined
2013,45.1,undefined
2014,46.1,undefined
2015,47.4,undefined
2016,47.3,undefined
2017,47.9,undefined
2018,47.2,undefined
2019,45.3,undefined
2020,47.3,undefined
2021,47.5,undefined
