year,avg_temp,anomaly
1995,55.1,undefined
1996,54.0,undefined
1997,54.8,undefined
1998,57.4,undefined
1999,56.5,undefined
2000,54.7,undefined
2001,56.1,undefined
2002,57.2,undefined
2003,54.6,undefined
2004,55.8,undefined
2005,55.7,undefined
2006,57.3,undefined
2007,56.3,undefined
2008,56.3,undefined
2009,55.4,undefined
2010,56.7,undefined
2011,57.4,undefined
2012,58.5,undefined
2013,55.8,undefined
2014,54.7,undefined
2015,56.4,undefined
2016,57.4,undefined
2017,57.6,undefined
2018,57.1,undefined
2019,57.5,undefined
2020,58.0,undefined
2021,57.4,undefined
