year,avg_temp,anomaly
1995,43.7,undefined
1996,43.2,undefined
1997,43.2,undefined
1998,44.3,undefined
1999,43.6,undefined
2000,43.9,undefined
2001,44.2,undefined
2002,43.0,undefined
2003,45.4,undefined
2004,44.2,undefined
2005,43.6,undefined
2006,44.2,undefined
2007,44.8,undefined
2008,42.5,undefined
2009,42.8,undefined
2010,43.3,undefined
2011,42.4,undefined
2012,45.1,undefined
2013,43.7,undefined
2014,45.1,undefined
2015,46.4,undefined
2016,45.1,undefined
2017,44.3,undefined
2018,44.5,undefined
2019,43.0,undefined
2020,44.3,undefined
2021,45.4,undefined
