year,avg_temp,anomaly
1995,53.9,undefined
1996,53.1,undefined
1997,53.7,undefined
1998,56.3,undefined
1999,56.0,undefined
2000,55.5,undefined
2001,55.9,undefined
2002,55.2,undefined
2003,55.0,undefined
2004,55.1,undefined
2005,55.9,undefined
2006,56.9,undefined
2007,55.1,undefined
2008,53.6,undefined
2009,53.6,undefined
2010,55.3,undefined
2011,55.2,undefined
2012,58.2,undefined
2013,53.7,undefined
2014,53.7,undefined
2015,56.3,undefined
2016,57.2,undefined
2017,56.5,undefined
2018,54.6,undefined
2019,53.8,undefined
2020,55.6,undefined
2021,56.1,undefined
