year,avg_temp,anomaly
1995,55.4,undefined
1996,54.4,undefined
1997,54.5,undefined
1998,58.2,undefined
1999,57.3,undefined
2000,55.7,undefined
2001,56.6,undefined
2002,56.8,undefined
2003,55.2,undefined
2004,56.4,undefined
2005,56.8,undefined
2006,56.8,undefined
2007,57.7,undefined
2008,55.4,undefined
2009,55.4,undefined
2010,56.0,undefined
2011,56.9,undefined
2012,58.4,undefined
2013,55.0,undefined
2014,54.3,undefined
2015,56.6,undefined
2016,57.9,undefined
2017,57.8,undefined
2018,57.0,undefined
2019,57.5,undefined
2020,57.1,undefined
2021,57.0,undefined
