year,avg_temp,anomaly
1995,66.8,undefined
1996,66.2,undefined
1997,66.0,undefined
1998,68.6,undefined
1999,67.9,undefined
2000,67.2,undefined
2001,66.7,undefined
2002,66.6,undefined
2003,66.4,undefined
2004,67.1,undefined
2005,67.5,undefined
2006,67.8,undefined
2007,67.4,undefined
2008,66.6,undefined
2009,66.9,undefined
2010,66.5,undefined
2011,67.7,undefined
2012,68.7,undefined
2013,66.3,undefined
2014,65.1,undefined
2015,68.1,undefined
2016,68.7,undefined
2017,68.7,undefined
2018,67.8,undefined
2019,67.7,undefined
2020,68.2,undefined
2021,67.5,undefined
