year,avg_temp,anomaly
1995,44.2,undefined
1996,42.5,undefined
1997,43.5,undefined
1998,48.3,undefined
1999,46.4,undefined
2000,45.0,undefined
2001,46.8,undefined
2002,45.7,undefined
2003,44.0,undefined
2004,44.6,undefined
2005,46.0,undefined
2006,47.0,undefined
2007,46.1,undefined
2008,44.0,undefined
2009,43.8,undefined
2010,47.1,undefined
2011,45.6,undefined
2012,48.4,undefined
2013,44.1,undefined
2014,41.9,undefined
2015,45.1,undefined
2016,47.4,undefined
2017,46.3,undefined
2018,45.1,undefined
2019,43.9,undefined
2020,46.5,undefined
2021,47.4,undefined
