year,avg_temp,anomaly
1995,40.3,undefined
1996,37.6,undefined
1997,40.6,undefined
1998,44.9,undefined
1999,43.7,undefined
2000,41.8,undefined
2001,43.1,undefined
2002,42.0,undefined
2003,41.5,undefined
2004,41.3,undefined
2005,43.1,undefined
2006,44.4,undefined
2007,42.4,undefined
2008,39.4,undefined
2009,40.1,undefined
2010,42.8,undefined
2011,42.0,undefined
2012,45.2,undefined
2013,39.3,undefined
2014,38.6,undefined
2015,43.5,undefined
2016,44.6,undefined
2017,42.6,undefined
2018,40.6,undefined
2019,39.3,undefined
2020,42.4,undefined
2021,44.3,undefined
