year,avg_temp,anomaly
1995,54.2,undefined
1996,52.9,undefined
1997,53.7,undefined
1998,57.2,undefined
1999,56.4,undefined
2000,55.2,undefined
2001,55.8,undefined
2002,55.3,undefined
2003,54.5,undefined
2004,55.0,undefined
2005,56.2,undefined
2006,56.8,undefined
2007,56.2,undefined
2008,53.4,undefined
2009,54.0,undefined
2010,55.2,undefined
2011,55.6,undefined
2012,58.6,undefined
2013,53.6,undefined
2014,52.9,undefined
2015,55.8,undefined
2016,57.4,undefined
2017,57.2,undefined
2018,55.2,undefined
2019,55.0,undefined
2020,55.8,undefined
2021,56.3,undefined
