year,avg_temp,anomaly
1995,41.7,undefined
1996,39.2,undefined
1997,42.2,undefined
1998,43.9,undefined
1999,44.0,undefined
2000,42.4,undefined
2001,43.7,undefined
2002,41.4,undefined
2003,43.3,undefined
2004,42.8,undefined
2005,43.1,undefined
2006,44.4,undefined
2007,44.0,undefined
2008,41.4,undefined
2009,41.1,undefined
2010,41.6,undefined
2011,41.6,undefined
2012,44.5,undefined
2013,42.4,undefined
2014,41.9,undefined
2015,44.9,undefined
2016,44.6,undefined
2017,43.2,undefined
2018,41.3,undefined
2019,39.9,undefined
2020,43.3,undefined
2021,44.0,undefined
