year,avg_temp,anomaly
1995,50.9,undefined
1996,51.5,undefined
1997,50.6,undefined
1998,49.2,undefined
1999,50.6,undefined
2000,51.5,undefined
2001,51.6,undefined
2002,50.8,undefined
2003,52.2,undefined
2004,50.8,undefined
2005,50.7,undefined
2006,50.8,undefined
2007,51.5,undefined
2008,50.4,undefined
2009,50.4,undefined
2010,50.1,undefined
2011,49.6,undefined
2012,52.4,undefined
2013,50.5,undefined
2014,53.0,undefined
2015,52.9,undefined
2016,51.9,undefined
2017,52.2,undefined
2018,52.0,undefined
2019,49.9,undefined
2020,52.4,undefined
2021,52.5,undefined
