year,avg_temp,anomaly
1995,52.5,undefined
1996,51.5,undefined
1997,52.1,undefined
1998,55.2,undefined
1999,54.1,undefined
2000,52.2,undefined
2001,53.6,undefined
2002,54.3,undefined
2003,51.8,undefined
2004,53.0,undefined
2005,53.5,undefined
2006,55.0,undefined
2007,53.6,undefined
2008,53.6,undefined
2009,52.7,undefined
2010,54.7,undefined
2011,54.9,undefined
2012,55.9,undefined
2013,53.2,undefined
2014,51.9,undefined
2015,53.9,undefined
2016,55.0,undefined
2017,54.6,undefined
2018,54.2,undefined
2019,54.3,undefined
2020,55.5,undefined
2021,55.1,undefined
