year,avg_temp,anomaly
1995,54.3,undefined
1996,54.7,undefined
1997,52.9,undefined
1998,54.2,undefined
1999,54.3,undefined
2000,55.2,undefined
2001,54.6,undefined
2002,54.4,undefined
2003,55.5,undefined
2004,53.5,undefined
2005,54.7,undefined
2006,54.7,undefined
2007,54.2,undefined
2008,53.6,undefined
2009,54.3,undefined
2010,54.2,undefined
2011,54.6,undefined
2012,56.0,undefined
2013,53.7,undefined
2014,54.8,undefined
2015,54.9,undefined
2016,55.5,undefined
2017,56.4,undefined
2018,55.5,undefined
2019,54.5,undefined
2020,56.0,undefined
2021,55.4,undefined
