year,avg_temp,anomaly
1995,58.4,undefined
1996,57.8,undefined
1997,58.1,undefined
1998,60.8,undefined
1999,59.7,undefined
2000,58.4,undefined
2001,59.4,undefined
2002,60.0,undefined
2003,58.7,undefined
2004,59.3,undefined
2005,59.4,undefined
2006,59.8,undefined
2007,60.5,undefined
2008,59.3,undefined
2009,58.9,undefined
2010,59.0,undefined
2011,60.4,undefined
2012,60.7,undefined
2013,58.6,undefined
2014,58.4,undefined
2015,60.5,undefined
2016,60.8,undefined
2017,61.0,undefined
2018,60.4,undefined
2019,61.3,undefined
2020,60.8,undefined
2021,60.2,undefined
