year,avg_temp,anomaly
1995,39.6,undefined
1996,36.5,undefined
1997,40.7,undefined
1998,43.2,undefined
1999,43.0,undefined
2000,41.1,undefined
2001,42.2,undefined
2002,41.0,undefined
2003,40.8,undefined
2004,40.5,undefined
2005,42.4,undefined
2006,43.8,undefined
2007,41.8,undefined
2008,39.3,undefined
2009,38.5,undefined
2010,40.9,undefined
2011,40.7,undefined
2012,44.1,undefined
2013,38.8,undefined
2014,39.0,undefined
2015,43.4,undefined
2016,44.4,undefined
2017,42.0,undefined
2018,39.8,undefined
2019,38.0,undefined
2020,42.3,undefined
2021,43.8,undefined
