year,avg_temp,anomaly
1995,50.3,undefined
1996,49.5,undefined
1997,49.9,undefined
1998,54.1,undefined
1999,52.3,undefined
2000,50.8,undefined
2001,52.4,undefined
2002,52.5,undefined
2003,50.2,undefined
2004,51.3,undefined
2005,51.8,undefined
2006,52.7,undefined
2007,52.3,undefined
2008,50.6,undefined
2009,50.5,undefined
2010,51.7,undefined
2011,52.3,undefined
2012,54.0,undefined
2013,50.9,undefined
2014,49.2,undefined
2015,51.6,undefined
2016,53.6,undefined
2017,53.2,undefined
2018,52.2,undefined
2019,52.4,undefined
2020,53.0,undefined
2021,53.2,undefined
