year,avg_temp,anomaly
1995,59.4,undefined
1996,59.0,undefined
1997,58.7,undefined
1998,62.1,undefined
1999,61.3,undefined
2000,60.3,undefined
2001,60.8,undefined
2002,59.4,undefined
2003,59.9,undefined
2004,60.2,undefined
2005,60.8,undefined
2006,62.2,undefined
2007,60.1,undefined
2008,59.6,undefined
2009,59.4,undefined
2010,60.3,undefined
2011,61.6,undefined
2012,63.2,undefined
2013,58.8,undefined
2014,58.9,undefined
2015,60.8,undefined
2016,62.3,undefined
2017,61.8,undefined
2018,60.2,undefined
2019,59.9,undefined
2020,60.7,undefined
2021,60.8,undefined
