year,avg_temp,anomaly
1995,48.5,undefined
1996,47.6,undefined
1997,48.0,undefined
1998,51.8,undefined
1999,50.0,undefined
2000,48.5,undefined
2001,49.9,undefined
2002,50.3,undefined
2003,48.0,undefined
2004,49.1,undefined
2005,49.5,undefined
2006,50.8,undefined
2007,49.5,undefined
2008,48.9,undefined
2009,48.4,undefined
2010,50.1,undefined
2011,50.4,undefined
2012,51.8,undefined
2013,49.0,undefined
2014,47.4,undefined
2015,49.5,undefined
2016,50.9,undefined
2017,50.6,undefined
2018,49.8,undefined
2019,49.9,undefined
2020,51.2,undefined
2021,51.2,undefined
