year,avg_temp,anomaly
1995,49.9,undefined
1996,49.1,undefined
1997,49.4,undefined
1998,52.0,undefined
1999,51.8,undefined
2000,49.5,undefined
2001,51.1,undefined
2002,51.2,undefined
2003,49.0,undefined
2004,49.3,undefined
2005,50.1,undefined
2006,51.8,undefined
2007,50.3,undefined
2008,50.8,undefined
2009,49.8,undefined
2010,52.0,undefined
2011,51.6,undefined
2012,52.9,undefined
2013,50.7,undefined
2014,49.7,undefined
2015,50.4,undefined
2016,52.2,undefined
2017,51.5,undefined
2018,51.6,undefined
2019,50.6,undefined
2020,52.8,undefined
2021,52.5,undefined
