year,avg_temp,anomaly
1995,44.7,undefined
1996,41.6,undefined
1997,44.8,undefined
1998,47.4,undefined
1999,47.8,undefined
2000,46.0,undefined
2001,46.5,undefined
2002,46.2,undefined
2003,46.1,undefined
2004,46.3,undefined
2005,47.3,undefined
2006,48.1,undefined
2007,46.8,undefined
2008,43.8,undefined
2009,43.6,undefined
2010,45.1,undefined
2011,44.8,undefined
2012,49.3,undefined
2013,44.0,undefined
2014,43.7,undefined
2015,47.5,undefined
2016,48.4,undefined
2017,46.8,undefined
2018,44.1,undefined
2019,42.3,undefined
2020,46.8,undefined
2021,48.0,undefined
