year,avg_temp,anomaly
1995,65.2,undefined
1996,65.4,undefined
1997,63.9,undefined
1998,67.0,undefined
1999,66.6,undefined
2000,66.5,undefined
2001,65.7,undefined
2002,65.0,undefined
2003,65.5,undefined
2004,65.2,undefined
2005,66.0,undefined
2006,67.1,undefined
2007,64.8,undefined
2008,65.5,undefined
2009,65.8,undefined
2010,65.1,undefined
2011,67.3,undefined
2012,67.8,undefined
2013,65.1,undefined
2014,64.9,undefined
2015,65.8,undefined
2016,67.2,undefined
2017,67.3,undefined
2018,66.0,undefined
2019,65.9,undefined
2020,66.9,undefined
2021,66.2,undefined
