year,avg_temp,anomaly
1995,49.2,undefined
1996,49.6,undefined
1997,48.2,undefined
1998,48.3,undefined
1999,49.2,undefined
2000,50.2,undefined
2001,50.0,undefined
2002,48.8,undefined
2003,50.6,undefined
2004,48.7,undefined
2005,49.3,undefined
2006,49.2,undefined
2007,49.9,undefined
2008,48.1,undefined
2009,48.4,undefined
2010,48.3,undefined
2011,47.6,undefined
2012,50.9,undefined
2013,47.8,undefined
2014,50.4,undefined
2015,50.7,undefined
2016,50.2,undefined
2017,50.7,undefined
2018,50.4,undefined
2019,47.9,undefined
2020,50.4,undefined
2021,50.7,undefined
