year,avg_temp,anomaly
1995,42.3,undefined
1996,42.0,undefined
1997,41.1,undefined
1998,45.2,undefined
1999,44.3,undefined
2000,41.8,undefined
2001,43.8,undefined
2002,43.6,undefined
2003,41.5,undefined
2004,41.8,undefined
2005,43.4,undefined
2006,45.1,undefined
2007,42.2,undefined
2008,43.1,undefined
2009,42.3,undefined
2010,44.9,undefined
2011,44.3,undefined
2012,45.9,undefined
2013,43.2,undefined
2014,42.0,undefined
2015,42.6,undefined
2016,44.7,undefined
2017,43.8,undefined
2018,43.2,undefined
2019,41.9,undefined
2020,44.8,undefined
2021,45.0,undefined
