year,avg_temp,anomaly
1995,47.5,undefined
1996,45.6,undefined
1997,47.1,undefined
1998,48.6,undefined
1999,46.9,undefined
2000,46.2,undefined
2001,46.9,undefined
2002,46.9,undefined
2003,48.2,undefined
2004,48.4,undefined
2005,47.3,undefined
2006,47.5,undefined
2007,46.8,undefined
2008,45.8,undefined
2009,46.4,undefined
2010,47.1,undefined
2011,45.5,undefined
2012,47.1,undefined
2013,47.2,undefined
2014,48.4,undefined
2015,50.0,undefined
2016,48.6,undefined
2017,46.8,undefined
2018,48.1,undefined
2019,46.5,undefined
2020,48.1,undefined
2021,48.3,undefined
