year,avg_temp,anomaly
1995,42.8,undefined
1996,40.5,undefined
1997,42.6,undefined
1998,47.3,undefined
1999,45.4,undefined
2000,43.9,undefined
2001,45.3,undefined
2002,44.6,undefined
2003,43.2,undefined
2004,43.5,undefined
2005,45.1,undefined
2006,46.0,undefined
2007,44.7,undefined
2008,41.8,undefined
2009,42.4,undefined
2010,45.5,undefined
2011,44.1,undefined
2012,47.4,undefined
2013,41.8,undefined
2014,40.2,undefined
2015,44.8,undefined
2016,46.2,undefined
2017,44.7,undefined
2018,43.2,undefined
2019,42.1,undefined
2020,44.8,undefined
2021,45.8,undefined
