productions,avg_temp,temp_anomaly,precipitation
73000,62.7,-0.4,47.19
63000,63.8,0.7,50.71
65000,64.9,1.8,53.38
55000,62.6,-0.5,64.7
26000,62.0,-1.1,56.03
13000,64.6,1.5,61.36
33000,65.3,2.2,45.01
22000,65.0,1.9,64.19
14000,64.5,1.4,64.4
44000,65.4,2.3,56.3
66000,64.9,1.8,68.67
112000,64.2,1.1,65.16
665000,60.4,1.0,13.91
427000,60.3,0.9,9.63
253000,62.1,2.7,9.56
251000,60.5,1.1,12.13
193000,62.3,2.9,11.07
306000,61.8,2.4,14.39
261000,62.2,2.8,12.28
97000,63.0,3.6,9.47
109000,62.3,2.9,11.67
201000,60.3,0.9,14.69
360000,62.6,3.2,6.56
368000,62.1,2.7,12.57
360000,61.2,0.8,38.79
239000,61.8,1.4,55.84
189000,63.6,3.2,39.81
66000,59.6,-0.8,54.24
137000,58.7,-1.7,47.91
121000,61.4,1.0,67.31
99000,62.8,2.4,50.44
197000,62.5,2.1,50.26
84000,61.2,0.8,64.32
176000,61.2,0.8,65.65
176000,61.2,0.8,63.82
255000,61.3,0.9,50.23
6318000,57.7,0.3,31.18
3730000,57.4,0.0,18.79
3119000,59.5,2.1,23.45
2505000,59.3,1.9,7.93
2995000,61.5,4.1,19.9
1485000,60.8,3.4,15.04
2009000,60.1,2.7,25.73
2198000,60.3,2.9,28.17
3022000,60.1,2.7,18.09
3216000,58.4,1.0,29.12
2752000,60.5,3.1,12.07
1627000,60.4,3.0,18.93
533000,46.2,1.6,18.19
443000,45.4,0.8,17.62
468000,48.3,3.7,12.31
324000,45.1,0.5,18.79
200000,46.1,1.5,19.14
399000,47.4,2.8,21.73
282000,47.3,2.7,17.08
284000,47.9,3.3,18.91
283000,47.2,2.6,14.96
500000,45.3,0.7,18.91
455000,47.3,2.7,12.23
232000,47.5,2.9,17.1
1794000,69.2,-0.9,48.12
988000,71.7,1.6,46.77
1235000,71.9,1.8,55.09
1074000,71.7,1.6,56.87
1029000,70.6,0.5,59.13
832000,73.4,3.3,52.86
538000,72.5,2.4,53.41
529000,72.8,2.7,58.63
737000,72.3,2.2,60.52
830000,73.2,3.1,52.1
883000,73.2,3.1,57.98
849000,72.2,2.1,55.38
152000,63.0,-0.4,43.04
196000,64.6,1.2,40.11
181000,65.5,2.1,42.02
637000,63.4,0.0,63.49
362000,63.0,-0.4,51.41
221000,65.3,1.9,55.74
899000,65.8,2.4,40.9
190000,65.8,2.4,49.8
200000,65.1,1.7,60.8
370000,66.2,2.8,47.89
412000,65.6,2.2,60.46
261000,64.6,1.2,57.14
1179000,43.3,0.7,26.14
1879000,42.4,-0.2,24.69
530000,45.1,2.5,25.71
1036000,43.7,1.1,17.64
850000,45.1,2.5,26.47
1082000,46.4,3.8,22.52
1253000,45.1,2.5,24.88
1045000,44.3,1.7,28.83
655000,44.5,1.9,21.88
677000,43.0,0.4,23.41
637000,44.3,1.7,22.19
270000,45.4,2.8,21.01
92000,52.9,1.3,40.68
98000,53.2,1.6,46.1
145000,55.8,4.2,30.11
101000,51.1,-0.5,42.49
94000,49.5,-2.1,41.29
155000,52.9,1.3,48.8
77000,54.7,3.1,39.75
167000,54.4,2.8,37.8
108000,52.5,0.9,45.79
116000,52.1,0.5,49.86
156000,53.3,1.7,41.94
115000,53.8,2.2,41.01
151000,52.6,1.3,37.39
147000,53.1,1.8,55.2
203000,55.1,3.8,33.82
82000,51.2,-0.1,45.14
115000,49.4,-1.9,43.57
165000,52.3,1.0,47.51
208000,54.2,2.9,43.38
158000,54.0,2.7,45.61
106000,52.6,1.3,50.03
188000,52.4,1.1,49.52
149000,53.3,2.0,42.4
177000,53.5,2.2,45.46
463000,48.2,0.7,44.05
961000,48.4,0.9,31.83
1196000,52.1,4.6,25.61
1217000,46.7,-0.8,34.44
933000,45.5,-2.0,38.69
990000,49.3,1.8,42.53
746000,50.7,3.2,38.1
1035000,50.0,2.5,32.36
1005000,47.5,0.0,45.08
1170000,46.8,-0.7,41.63
1259000,49.2,1.7,29.28
502000,50.0,2.5,30.84
103000,55.3,1.2,27.84
117000,55.2,1.1,24.17
125000,58.2,4.1,19.29
39000,53.7,-0.4,29.03
84000,53.7,-0.4,25.43
107000,56.3,2.2,32.78
54000,57.2,3.1,30.68
260000,56.5,2.4,29.03
95000,54.6,0.5,31.85
171000,53.8,-0.3,36.03
164000,55.6,1.5,25.85
144000,56.1,2.0,27.25
67000,56.0,0.5,43.54
12000,56.9,1.4,64.35
41000,58.4,2.9,43.21
17000,55.0,-0.5,55.78
56000,54.3,-1.2,47.11
55000,56.6,1.1,58.31
48000,57.9,2.4,49.19
42000,57.8,2.3,50.26
34000,57.0,1.5,63.74
44000,57.5,2.0,61.32
58000,57.1,1.6,58.11
73000,57.0,1.5,53.39
288000,66.5,0.1,41.76
471000,67.7,1.3,43.01
141000,68.7,2.3,62.88
490000,66.3,-0.1,61.43
524000,65.1,-1.3,55.94
348000,68.1,1.7,67.31
301000,68.7,2.3,67.08
279000,68.7,2.3,64.06
261000,67.8,1.4,66.39
428000,67.7,1.3,61.87
228000,68.2,1.8,66.96
205000,67.5,1.1,66.28
33000,44.6,4.5,49.31
17000,42.8,2.7,50.04
24000,43.9,3.8,47.38
27000,42.0,1.9,45.61
41000,41.2,1.1,49.45
47000,41.2,1.1,43.16
65000,43.3,3.2,41.36
51000,42.4,2.3,45.32
92000,41.8,1.7,46.45
110000,40.7,0.6,49.99
78000,43.5,3.4,40.63
60000,44.2,4.1,39.75
1524000,47.1,3.5,31.22
2084000,45.6,2.0,36.82
1332000,48.4,4.8,31.0
982000,44.1,0.5,38.23
1835000,41.9,-1.7,36.66
1984000,45.1,1.5,31.74
1709000,47.4,3.8,35.86
822000,46.3,2.7,39.27
768000,45.1,1.5,36.17
1363000,43.9,0.3,41.83
1384000,46.5,2.9,35.31
1957000,47.4,3.8,32.88
1774000,42.8,2.7,33.44
2099000,42.0,1.9,24.35
1591000,45.2,5.1,26.17
1282000,39.3,-0.8,29.01
1426000,38.6,-1.5,29.12
2157000,43.5,3.4,29.46
1390000,44.6,4.5,33.54
1016000,42.6,2.5,28.3
1161000,40.6,0.5,30.08
3063000,39.3,-0.8,35.66
2495000,42.4,2.3,24.4
285000,44.3,4.2,23.57
78000,63.5,-0.1,43.91
104000,64.5,0.9,52.84
64000,65.7,2.1,59.17
