state,yield_per_colony,productions,stocks,average_price,value_of_prod,avg_temp,precipitation
Alabama,54,73000,73000,240.0,1166000,62.7,47.19
Alabama,50,63000,63000,251.0,1130000,63.8,50.71
Alabama,54,65000,65000,247.0,1067000,64.9,53.38
Alabama,52,55000,55000,285.0,1037000,62.6,64.7
Alabama,53,26000,26000,353.0,1310000,62.0,56.03
Alabama,47,13000,13000,383.0,1260000,64.6,61.36
Alabama,52,33000,33000,345.0,1256000,65.3,45.01
Alabama,45,22000,22000,288.0,907000,65.0,64.19
Alabama,45,14000,14000,3.72,1004000,64.5,64.4
Alabama,42,44000,44000,3.38,994000,65.4,56.3
Alabama,39,66000,66000,5.52,1507000,64.9,68.67
Alabama,40,112000,112000,5.99,1917000,64.2,65.16
Arizona,77,665000,665000,152.0,2809000,60.4,13.91
Arizona,53,427000,427000,155.0,1889000,60.3,9.63
Arizona,46,253000,253000,179.0,1811000,62.1,9.56
Arizona,36,251000,251000,196.0,2046000,60.5,12.13
Arizona,39,193000,193000,192.0,1947000,62.3,11.07
Arizona,49,306000,306000,203.0,2586000,61.8,14.39
Arizona,46,261000,261000,197.0,2447000,62.2,12.28
Arizona,40,97000,97000,199.0,1751000,63.0,9.47
Arizona,38,109000,109000,3.01,2745000,62.3,11.67
Arizona,46,201000,201000,2.04,2158000,60.3,14.69
Arizona,36,360000,360000,2.38,2142000,62.6,6.56
Arizona,40,368000,368000,2.34,2434000,62.1,12.57
Arkansas,60,360000,360000,147.0,2205000,61.2,38.79
Arkansas,64,239000,239000,162.0,2281000,61.8,55.84
Arkansas,63,189000,189000,198.0,3119000,63.6,39.81
Arkansas,60,66000,66000,202.0,2666000,59.6,54.24
Arkansas,65,137000,137000,204.0,2785000,58.7,47.91
Arkansas,72,121000,121000,206.0,3560000,61.4,67.31
Arkansas,69,99000,99000,185.0,3064000,62.8,50.44
Arkansas,68,197000,197000,197.0,3885000,62.5,50.26
Arkansas,50,84000,84000,1.88,2632000,61.2,64.32
Arkansas,55,176000,176000,1.65,1815000,61.2,65.65
Arkansas,49,176000,176000,1.85,1813000,61.2,63.82
Arkansas,50,255000,255000,2.07,1760000,61.3,50.23
California,67,6318000,6318000,155.0,42579000,57.7,31.18
California,48,3730000,3730000,165.0,29304000,57.4,18.79
California,35,3119000,3119000,194.0,22407000,59.5,23.45
California,33,2505000,2505000,211.0,22978000,59.3,7.93
California,39,2995000,2995000,206.0,25709000,61.5,19.9
California,30,1485000,1485000,203.0,16748000,60.8,15.04
California,36,2009000,2009000,204.0,22766000,60.1,25.73
California,41,2198000,2198000,216.0,29668000,60.3,28.17
California,41,3022000,3022000,2.11,28981000,60.1,18.09
California,48,3216000,3216000,1.6,25728000,58.4,29.12
California,43,2752000,2752000,1.95,26832000,60.5,12.07
